Jackson State,-4.4,
Stetson,-4.6,
Arkansas State,-4.6,
Utah Valley,-4.6,
Delaware,-4.6,
North Alabama,-4.7,
Illinois State,-4.8,
Quinnipiac,-4.9,
Northern Colorado,-5.0,
Fairleigh Dickinson,-5.0,
CSU Fullerton,-5.1,
Portland State,-5.1,
Florida Gulf Coast,-5.1,
St. Francis (BKN),-5.2,
Southern Miss,-5.3,
Long Beach State,-5.3,
Youngstown State,-5.3,
Evansville,-5.3,
UT Rio Grande Valley,-5.4,
Oakland,-5.5,
Samford,-5.6,
McNeese,-5.6,
Longwood,-5.6,
New Orleans,-5.6,
Manhattan,-5.8,
North Carolina A&T,-5.8,
Southern,-5.8,
St. Francis (PA),-6.1,
Eastern Illinois,-6.2,
Towson,-6.3,
Troy,-6.4,
Fairfield,-6.5,
Purdue Fort Wayne,-6.5,
High Point,-6.5,
IUPUI,-6.5,
Holy Cross,-6.7,
Florida A&M,-6.8,
CSU Northridge,-6.8,
Southeast Missouri State,-6.8,
Rider,-6.9,
UC San Diego,-7.0,
Green Bay,-7.0,
Sacred Heart,-7.1,
Coppin State,-7.2,
Central Michigan,-7.2,
Jacksonville,-7.3,
Middle Tennessee,-7.3,
Lamar,-7.4,
Florida International,-7.4,
UL Monroe,-7.5,
Northwestern State,-7.5,
UIC,-7.5,
Grambling,-7.7,
Binghamton,-7.7,
Western Michigan,-7.7,
Robert Morris,-7.8,
Central Arkansas,-7.9,
North Florida,-7.9,
North Dakota,-8.0,
Eastern Michigan,-8.1,
New Mexico,-8.3,
William & Mary,-8.5,
Maine,-8.6,
Omaha,-8.7,
Western Illinois,-8.8,
Tennessee State,-9.0,
North Carolina Central,-9.1,
Tennessee Tech,-9.3,
Hampton,-9.3,
Presbyterian,-9.6,
Lehigh,-9.7,
Fordham,-9.8,
SE Louisiana,-9.8,
SIU Edwardsville,-10.0,
Northern Arizona,-10.0,
Central Connecticut,-10.1,
Kennesaw State,-10.1,
Cal Poly,-10.1,
Dixie State,-10.1,
Houston Baptist,-10.3,
South Carolina Upstate,-10.4,
Alcorn State,-10.4,
Charleston Southern,-10.5,
Howard,-10.6,
Alabama A&M,-10.7,
Incarnate Word,-10.8,
Texas A&M-CC,-11.2,
Northern Illinois,-12.2,
San José St,-13.3,
Portland,-13.4,
Air Force,-13.6,
UT Martin,-13.6,
Denver,-13.7,
Alabama State,-14.6,
Idaho,-14.7,
Arkansas-Pine Bluff,-14.8,
Delaware State,-16.0,
South Carolina State,-16.8,
Chicago State,-21.1,
Mississippi Valley State,-26.3,
