High Point,-6.41,
Montana,-6.47,
Siena,-6.54,
New Hampshire,-6.55,
Mount St. Mary's,-6.68,
UMass Lowell,-6.86,
South Florida,-6.91,
Stony Brook,-7.06,
Georgia Southern,-7.18,
Elon,-7.35,
Portland St.,-7.51,
UC San Diego,-7.68,
Tennessee Tech,-7.76,
Youngstown St.,-7.8,
New Orleans,-7.82,
Eastern Kentucky,-7.87,
Alcorn St.,-8.01,
Air Force,-8.04,
Lipscomb,-8.06,
Louisiana Monroe,-8.1,
Miami OH,-8.1,
Northeastern,-8.18,
Presbyterian,-8.23,
Ball St.,-8.28,
Tennessee St.,-8.37,
Southeastern Louisiana,-8.43,
Manhattan,-8.51,
North Florida,-8.52,
USC Upstate,-8.54,
Canisius,-8.56,
Loyola MD,-8.74,
Cal St. Bakersfield,-8.76,
FIU,-8.77,
Jackson St.,-8.96,
Dixie St.,-9.09,
Pepperdine,-9.26,
Prairie View A&M,-9.78,
Duquesne,-9.93,
San Jose St.,-10.15,
Bowling Green,-10.17,
Hartford,-10.2,
North Carolina Central,-10.35,
Illinois Chicago,-10.38,
Radford,-10.44,
Pacific,-10.49,
Denver,-10.58,
Austin Peay,-10.62,
Albany,-10.67,
Morgan St.,-10.87,
North Carolina A&T,-10.88,
Binghamton,-10.92,
SIU Edwardsville,-11.18,
Northern Illinois,-11.19,
Army,-11.24,
Western Carolina,-11.27,
UT Rio Grande Valley,-11.52,
Merrimack,-11.66,
Coppin St.,-11.74,
St. Thomas,-12.06,
Grambling St.,-12.18,
Lehigh,-12.19,
Cal Poly,-12.39,
Stetson,-12.4,
Tennessee Martin,-12.41,
South Carolina St.,-12.59,
Florida A&M,-12.64,
McNeese St.,-12.71,
Alabama St.,-13.07,
UTSA,-13.1,
Maryland Eastern Shore,-13.19,
Alabama A&M,-13.34,
North Alabama,-13.43,
Eastern Michigan,-13.48,
Sacramento St.,-13.52,
Central Michigan,-13.64,
Evansville,-13.8,
Central Arkansas,-14.02,
Sacred Heart,-14.4,
Idaho,-14.41,
St. Francis NY,-14.43,
Lafayette,-14.53,
St. Francis PA,-14.74,
Little Rock,-14.86,
Robert Morris,-15.08,
Western Michigan,-15.11,
Hampton,-15.15,
Northwestern St.,-15.15,
Cal St. Northridge,-15.89,
American,-16.3,
Bethune Cookman,-16.61,
Northern Arizona,-16.7,
Houston Baptist,-16.88,
Milwaukee,-16.93,
Bucknell,-17.23,
Idaho St.,-17.35,
Chicago St.,-17.41,
Southern Miss,-17.85,
William & Mary,-17.93,
Nebraska Omaha,-18.19,
Green Bay,-18.4,
NJIT,-18.48,
North Dakota,-19.48,
Lamar,-19.94,
Central Connecticut,-19.94,
Fairleigh Dickinson,-19.95,
Holy Cross,-20.23,
Charleston Southern,-20.25,
Columbia,-21.2,
Arkansas Pine Bluff,-21.34,
Incarnate Word,-21.65,
Maine,-22.25,
Mississippi Valley St.,-22.36,
Delaware St.,-24.38,
Eastern Illinois,-25.46,
IUPUI,-31.47,
